,Date Reported,Holder,pctHeld,Shares,Value,pctChange
0,2025-06-30,VANGUARD INDEX FUNDS-Vanguard Total Stock Market Index Fund,0.0324,480283704,112420010112,0.012
1,2025-06-30,VANGUARD INDEX FUNDS-Vanguard 500 Index Fund,0.0286,423950930,99234197290,0.015700001
2,2025-07-31,Fidelity Concord Street Trust-Fidelity 500 Index Fund,0.0128,189326715,44315705566,0.0004
3,2025-07-31,SPDR S&P 500 ETF TRUST,0.0123000005,182757737,42778104838,0.009
4,2025-06-30,iShares Trust-iShares Core S&P 500 ETF,0.0119,176809446,41385788320,0.0162
5,2025-06-30,VANGUARD INDEX FUNDS-Vanguard Growth Index Fund,0.01,147872804,34612588315,0.0145000005
6,2025-06-30,"Invesco QQQ Trust, Series 1",0.0084,125259032,29319382537,-0.011
7,2025-06-30,VANGUARD INSTITUTIONAL INDEX FUNDS-Vanguard Institutional Index Fund,0.0062,91543381,21427559861,-0.0115
8,2025-05-31,VANGUARD WORLD FUND-Vanguard Information Technology Index Fund,0.005,74018868,17325596974,0.0272
9,2025-06-30,iShares Trust-iShares Russell 1000 Growth ETF,0.0038,55751299,13049706965,0.085200004
